s,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR,CARBON MONOXIDE,SOOT,HYDROGEN,HYDROGEN CYANIDE,HEPTAN_SURROGATE,LUMPED AIR,LUMPED HEPTAN_SURROGATE,LUMPED PRODUCTS
 4.6023266E+001, 5.7347731E+001, 4.3680614E+001, 1.3187492E+001, 7.4852195E-002, 4.0406196E-001, 1.3564991E-004, 2.9842980E-004, 0.0000000E+000, 0.0000000E+000, 2.7708568E-004, 5.7134775E+001, 2.7708568E-004, 2.1267900E-001
 4.7022255E+001, 5.7348083E+001, 4.3680614E+001, 1.3186501E+001, 7.5735733E-002, 4.0445277E-001, 1.3857540E-004, 3.0486587E-004, 0.0000000E+000, 0.0000000E+000, 3.3606414E-004, 5.7130481E+001, 3.3606414E-004, 2.1726573E-001
 4.8019798E+001, 5.7348435E+001, 4.3680614E+001, 1.3185327E+001, 7.6781811E-002, 4.0491547E-001, 1.4203907E-004, 3.1248595E-004, 0.0000000E+000, 0.0000000E+000, 3.4152566E-004, 5.7125397E+001, 3.4152566E-004, 2.2269626E-001
 4.9010830E+001, 5.7348788E+001, 4.3680614E+001, 1.3184004E+001, 7.7961777E-002, 4.0543739E-001, 1.4594606E-004, 3.2108134E-004, 0.0000000E+000, 0.0000000E+000, 3.0406593E-004, 5.7119662E+001, 3.0406593E-004, 2.2882185E-001
 5.0016418E+001, 5.7349147E+001, 4.3680614E+001, 1.3182742E+001, 7.9086502E-002, 4.0593488E-001, 1.4967014E-004, 3.2927431E-004, 0.0000000E+000, 0.0000000E+000, 2.9058496E-004, 5.7114196E+001, 2.9058496E-004, 2.3466065E-001
 5.1005913E+001, 5.7349508E+001, 4.3680614E+001, 1.3181521E+001, 8.0175315E-002, 4.0641648E-001, 1.5327532E-004, 3.3720570E-004, 0.0000000E+000, 0.0000000E+000, 2.9103331E-004, 5.7108904E+001, 2.9103331E-004, 2.4031304E-001
 5.2018917E+001, 5.7349872E+001, 4.3680614E+001, 1.3180459E+001, 8.1121674E-002, 4.0683507E-001, 1.5640881E-004, 3.4409939E-004, 0.0000000E+000, 0.0000000E+000, 3.4173989E-004, 5.7104304E+001, 3.4173989E-004, 2.4522590E-001
 5.3015457E+001, 5.7350238E+001, 4.3680614E+001, 1.3179241E+001, 8.2207008E-002, 4.0731514E-001, 1.6000247E-004, 3.5200543E-004, 0.0000000E+000, 0.0000000E+000, 3.4814947E-004, 5.7099029E+001, 3.4814947E-004, 2.5086021E-001
 5.4003616E+001, 5.7350599E+001, 4.3680614E+001, 1.3178014E+001, 8.3301060E-002, 4.0779906E-001, 1.6362499E-004, 3.5997498E-004, 0.0000000E+000, 0.0000000E+000, 3.4661463E-004, 5.7093712E+001, 3.4661463E-004, 2.5653979E-001
 5.5019650E+001, 5.7350961E+001, 4.3680614E+001, 1.3176693E+001, 8.4479042E-002, 4.0832010E-001, 1.6752541E-004, 3.6855590E-004, 0.0000000E+000, 0.0000000E+000, 3.1875186E-004, 5.7087987E+001, 3.1875186E-004, 2.6265508E-001
