s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_HEPTAN_SURROGATE,MLR_PRODUCTS,ZONE_1
 1.7002007E+002, 1.7640629E+001, 0.0000000E+000,-8.5174794E+000,-2.0056095E-005,-9.6983546E+000, 0.0000000E+000,-1.7855125E-001, 0.0000000E+000,-7.9144939E-001,-7.5377582E-001, 0.0000000E+000, 5.1447582E-004, 0.0000000E+000, 8.3676547E+003
 1.7101176E+002, 2.6604452E+001, 0.0000000E+000,-1.1626760E+001, 1.5174851E-005,-9.5372640E+000, 0.0000000E+000, 2.2019105E+000, 0.0000000E+000, 7.5659790E+000, 7.6423541E+000, 0.0000000E+000, 5.1519227E-004, 0.0000000E+000, 8.4130699E+003
 1.7202080E+002, 2.1554098E+001, 0.0000000E+000,-9.2434522E+000,-1.2011294E-006,-9.5384081E+000, 0.0000000E+000, 1.1970528E+000, 0.0000000E+000, 4.0632564E+000, 3.9692888E+000, 0.0000000E+000, 5.1768507E-004, 0.0000000E+000, 8.4386230E+003
 1.7301686E+002, 1.9761390E+001, 0.0000000E+000,-8.7668048E+000, 1.0226704E-005,-9.5519866E+000, 0.0000000E+000, 6.7120255E-001, 0.0000000E+000, 2.1915315E+000, 2.1138114E+000, 0.0000000E+000, 5.1995442E-004, 0.0000000E+000, 8.4528448E+003
 1.7401199E+002, 1.9851902E+001, 0.0000000E+000,-9.1955088E+000, 4.7613350E-006,-9.4993786E+000, 0.0000000E+000, 5.0507695E-001, 0.0000000E+000, 1.5832843E+000, 1.6620959E+000, 0.0000000E+000, 5.2202721E-004, 0.0000000E+000, 8.4630096E+003
 1.7500916E+002, 2.6626841E+001, 0.0000000E+000,-1.1359219E+001,-1.9246332E-005,-9.3508698E+000, 0.0000000E+000, 2.3332433E+000, 0.0000000E+000, 7.9357193E+000, 8.2499766E+000, 0.0000000E+000, 5.2402496E-004, 0.0000000E+000, 8.5106047E+003
 1.7601224E+002, 2.9486572E+001, 0.0000000E+000,-1.1644549E+001, 3.8686663E-006,-9.3490206E+000, 0.0000000E+000, 3.5418643E+000, 0.0000000E+000, 1.2355267E+001, 1.2034871E+001, 0.0000000E+000, 5.2596736E-004, 0.0000000E+000, 8.5860809E+003
 1.7701334E+002, 2.7265225E+001, 0.0000000E+000,-1.1426467E+001,-1.9199805E-006,-9.6248718E+000, 0.0000000E+000, 2.5498620E+000, 0.0000000E+000, 8.8144700E+000, 8.7637465E+000, 0.0000000E+000, 5.2956308E-004, 0.0000000E+000, 8.6397239E+003
 1.7800653E+002, 3.0048798E+001, 0.0000000E+000,-1.2411583E+001, 3.6951016E-006,-9.7661315E+000, 0.0000000E+000, 3.1531445E+000, 0.0000000E+000, 1.0914026E+001, 1.1024232E+001, 0.0000000E+000, 5.3468680E-004, 0.0000000E+000, 8.7048793E+003
 1.7901263E+002, 2.3807313E+001, 0.0000000E+000,-1.0043398E+001,-3.0624511E-006,-1.0047568E+001, 0.0000000E+000, 1.5964850E+000, 0.0000000E+000, 5.4516849E+000, 5.3128286E+000, 0.0000000E+000, 5.4001144E-004, 0.0000000E+000, 8.7389700E+003
 1.8001607E+002, 1.9411388E+001, 0.0000000E+000,-8.7851013E+000, 1.4717707E-005,-1.0162116E+001, 0.0000000E+000, 2.9081208E-001, 0.0000000E+000, 8.3899275E-001, 7.5499780E-001, 0.0000000E+000, 5.4568804E-004, 0.0000000E+000, 8.7452913E+003
 1.8100957E+002, 2.2508649E+001, 0.0000000E+000,-1.0508331E+001, 5.2229777E-006,-1.0148282E+001, 0.0000000E+000, 8.1004276E-001, 0.0000000E+000, 2.7243085E+000, 2.6620841E+000, 0.0000000E+000, 5.4935689E-004, 0.0000000E+000, 8.7622389E+003
 1.8201762E+002, 2.2976139E+001, 0.0000000E+000,-1.0133001E+001,-3.0182485E-007,-1.0015607E+001, 0.0000000E+000, 1.1608445E+000, 0.0000000E+000, 3.8694626E+000, 3.9883740E+000, 0.0000000E+000, 5.5127691E-004, 0.0000000E+000, 8.7862560E+003
 1.8300490E+002, 4.1454071E+001, 0.0000000E+000,-1.6252390E+001,-1.7612192E-005,-1.0007463E+001, 0.0000000E+000, 6.0395109E+000, 0.0000000E+000, 2.1028997E+001, 2.1233712E+001, 0.0000000E+000, 5.5211461E-004, 0.0000000E+000, 8.9105017E+003
 1.8400288E+002, 2.6201000E+001, 0.0000000E+000,-1.0424236E+001, 6.1985808E-006,-1.0276603E+001, 0.0000000E+000, 2.3783675E+000, 0.0000000E+000, 8.1677408E+000, 7.8785354E+000, 0.0000000E+000, 5.5195963E-004, 0.0000000E+000, 8.9611977E+003
 1.8501491E+002, 2.0634247E+001, 0.0000000E+000,-9.6965010E+000, 1.7808321E-005,-1.0393589E+001, 0.0000000E+000, 2.5540151E-001, 0.0000000E+000, 6.3374697E-001, 7.9957575E-001, 0.0000000E+000, 5.5060572E-004, 0.0000000E+000, 8.9659484E+003
 1.8600690E+002, 3.1330920E+001, 0.0000000E+000,-1.2579556E+001, 1.7632933E-005,-1.0215702E+001, 0.0000000E+000, 3.4309982E+000, 0.0000000E+000, 1.1756998E+001, 1.1966678E+001, 0.0000000E+000, 5.4814840E-004, 0.0000000E+000, 9.0365750E+003
 1.8700832E+002, 3.2278346E+001, 0.0000000E+000,-1.3480497E+001, 4.5685884E-005,-1.0261505E+001, 0.0000000E+000, 3.5335756E+000, 0.0000000E+000, 1.2383591E+001, 1.2069964E+001, 0.0000000E+000, 5.4569479E-004, 0.0000000E+000, 9.1116099E+003
 1.8800691E+002, 2.1451446E+001, 0.0000000E+000,-9.6063063E+000, 3.3678220E-005,-1.0456022E+001, 0.0000000E+000, 6.5315892E-001, 0.0000000E+000, 2.1138046E+000, 2.0423097E+000, 0.0000000E+000, 5.4323333E-004, 0.0000000E+000, 9.1254585E+003
 1.8901016E+002, 2.4499177E+001, 0.0000000E+000,-1.1325040E+001, 4.5867778E-005,-1.0400577E+001, 0.0000000E+000, 1.1900888E+000, 0.0000000E+000, 4.0558839E+000, 3.9636953E+000, 0.0000000E+000, 5.4068900E-004, 0.0000000E+000, 9.1506943E+003
 1.9001732E+002, 2.1560218E+001, 0.0000000E+000,-9.7902525E+000, 5.4361363E-005,-1.0356262E+001, 0.0000000E+000, 6.6786316E-001, 0.0000000E+000, 2.1719825E+000, 2.0816213E+000, 0.0000000E+000, 5.3808432E-004, 0.0000000E+000, 9.1650278E+003
 1.9100400E+002, 2.6461458E+001, 0.0000000E+000,-1.1622171E+001, 5.3369136E-005,-1.0192269E+001, 0.0000000E+000, 1.8807773E+000, 0.0000000E+000, 6.4374458E+000, 6.5278477E+000, 0.0000000E+000, 5.3481260E-004, 0.0000000E+000, 9.2035339E+003
 1.9200636E+002, 2.1844839E+001, 0.0000000E+000,-1.0050317E+001,-1.3782124E-005,-1.0150459E+001, 0.0000000E+000, 7.1467421E-001, 0.0000000E+000, 2.3615834E+000, 2.3587243E+000, 0.0000000E+000, 5.3094719E-004, 0.0000000E+000, 9.2184688E+003
 1.9300244E+002, 2.5710064E+001, 0.0000000E+000,-1.1030060E+001,-2.2457915E-006,-1.0284874E+001, 0.0000000E+000, 1.8328616E+000, 0.0000000E+000, 6.2665727E+000, 6.2279891E+000, 0.0000000E+000, 5.2767131E-004, 0.0000000E+000, 9.2568213E+003
 1.9401080E+002, 2.6036130E+001, 0.0000000E+000,-1.1359167E+001,-8.1831768E-007,-1.0317358E+001, 0.0000000E+000, 1.7927945E+000, 0.0000000E+000, 6.1180910E+000, 6.1523990E+000, 0.0000000E+000, 5.2498594E-004, 0.0000000E+000, 9.2944989E+003
 1.9500150E+002, 2.8815175E+001, 0.0000000E+000,-1.2351780E+001, 8.5290725E-005,-1.0428683E+001, 0.0000000E+000, 2.5043622E+000, 0.0000000E+000, 8.6932490E+000, 8.5391592E+000, 0.0000000E+000, 5.2484422E-004, 0.0000000E+000, 9.3469757E+003
 1.9601242E+002, 3.0410792E+001, 0.0000000E+000,-1.2751522E+001, 5.2807597E-005,-1.0648959E+001, 0.0000000E+000, 2.8858755E+000, 0.0000000E+000, 9.9692952E+000, 9.8962390E+000, 0.0000000E+000, 5.2709147E-004, 0.0000000E+000, 9.4083175E+003
 1.9701141E+002, 1.9793031E+001, 0.0000000E+000,-9.4280640E+000, 4.2136178E-005,-1.0777224E+001, 0.0000000E+000,-9.9862510E-002, 0.0000000E+000,-5.8793366E-001,-5.1207754E-001, 0.0000000E+000, 5.3120680E-004, 0.0000000E+000, 9.4059217E+003
 1.9800882E+002, 2.8058538E+001, 0.0000000E+000,-1.2780530E+001, 3.6337562E-005,-1.0787235E+001, 0.0000000E+000, 1.7703188E+000, 0.0000000E+000, 6.0349280E+000, 6.2611290E+000, 0.0000000E+000, 5.3705048E-004, 0.0000000E+000, 9.4420375E+003
 1.9900186E+002, 2.6430918E+001, 0.0000000E+000,-1.1433726E+001, 8.0797443E-005,-1.0721810E+001, 0.0000000E+000, 1.9055375E+000, 0.0000000E+000, 6.5772115E+000, 6.1810003E+000, 0.0000000E+000, 5.4244285E-004, 0.0000000E+000, 9.4829461E+003
